state,earnings_hs,earnings_bachelors,premium_dollars,premium_ratio,premium_pct,cost_of_living_index
District of Columbia,40715,95628,54913,2.35,135.0,109.9
New Jersey,41528,80114,38586,1.93,93.0,108.8
California,40803,78278,37475,1.92,92.0,110.7
New York,39771,74504,34733,1.87,87.0,107.9
Massachusetts,43761,79985,36224,1.83,83.0,105.8
Virginia,41061,74468,33407,1.81,81.0,101.1
Puerto Rico,16957,30562,13605,1.8,80.0,
Connecticut,42120,75975,33855,1.8,80.0,103.6
Maryland,42778,76748,33970,1.79,79.0,105.0
Texas,37086,66474,29388,1.79,79.0,97.1
Illinois,40285,71127,30842,1.77,77.0,100.0
Michigan,36823,64810,27987,1.76,76.0,96.2
Washington,44866,78485,33619,1.75,75.0,107.0
Georgia,36820,64185,27365,1.74,74.0,96.3
Colorado,42541,73072,30531,1.72,72.0,103.1
Oregon,39308,67100,27792,1.71,71.0,103.4
Ohio,37990,64933,26943,1.71,71.0,92.8
North Carolina,36723,62338,25615,1.7,70.0,94.3
Minnesota,42435,71254,28819,1.68,68.0,98.6
New Mexico,33075,55421,22346,1.68,68.0,92.2
Delaware,38872,64157,25285,1.65,65.0,99.8
South Carolina,36740,60590,23850,1.65,65.0,93.7
Missouri,37420,61418,23998,1.64,64.0,90.8
Alabama,36615,60156,23541,1.64,64.0,88.8
Kentucky,36636,60185,23549,1.64,64.0,90.2
Arizona,40648,66683,26035,1.64,64.0,100.7
Mississippi,32125,52266,20141,1.63,63.0,87.0
Pennsylvania,40336,65678,25342,1.63,63.0,97.6
Kansas,37333,60620,23287,1.62,62.0,90.1
Tennessee,37693,61189,23496,1.62,62.0,91.9
Florida,36384,58009,21625,1.59,59.0,103.4
West Virginia,35532,56648,21116,1.59,59.0,89.5
Louisiana,36132,57107,20975,1.58,58.0,88.2
Rhode Island,43157,68084,24927,1.58,58.0,102.3
Alaska,43086,67221,24135,1.56,56.0,102.4
Arkansas,36012,56314,20302,1.56,56.0,86.9
Nevada,39090,60775,21685,1.55,55.0,100.0
Nebraska,39565,61239,21674,1.55,55.0,90.1
Wisconsin,41604,64320,22716,1.55,55.0,94.1
Oklahoma,35929,55663,19734,1.55,55.0,87.8
Indiana,39496,60573,21077,1.53,53.0,93.3
New Hampshire,47266,71325,24059,1.51,51.0,104.2
Utah,41940,63247,21307,1.51,51.0,98.9
Hawaii,41038,61448,20410,1.5,50.0,110.0
Iowa,40533,60754,20221,1.5,50.0,87.8
Idaho,38530,57342,18812,1.49,49.0,95.5
North Dakota,41665,61164,19499,1.47,47.0,89.0
Wyoming,40102,58331,18229,1.45,45.0,92.7
South Dakota,39793,56517,16724,1.42,42.0,88.6
Montana,39263,54642,15379,1.39,39.0,94.6
Maine,40817,55592,14775,1.36,36.0,97.0
Vermont,43810,56741,12931,1.3,30.0,98.0
